Filename,Year,Pages,File Size,Folder,OCR Required,Readable
RRB-Grop-D-CBT-1-Paper_1-12-2025_S1.pdf,2025,17,648588,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_1-12-2025_S2.pdf,2025,17,667447,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_1-12-2025_S3.pdf,2025,17,655753,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_10-12-2025_S1.pdf,2025,17,658315,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_10-12-2025_S2.pdf,2025,17,685723,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_10-12-2025_S3.pdf,2025,17,766714,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_11-12-2025_S1.pdf,2025,17,716748,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_11-12-2025_S2.pdf,2025,17,806315,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_11-12-2025_S3.pdf,2025,18,793750,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_12-12-2025_S1.pdf,2025,17,663439,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_12-12-2025_S2.pdf,2025,17,656468,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_12-12-2025_S3.pdf,2025,17,698152,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_14-12-2025_S1.pdf,2025,17,801077,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_14-12-2025_S2.pdf,2025,17,658419,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_14-12-2025_S3.pdf,2025,17,697575,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_15-12-2025_S1.pdf,2025,17,693278,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_15-12-2025_S2.pdf,2025,18,678357,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_15-12-2025_S3.pdf,2025,17,773035,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_2-12-2025_S1.pdf,2025,17,658599,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_2-12-2025_S2.pdf,2025,17,659522,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_2-12-2025_S3.pdf,2025,17,648006,PDFs/2025,No,Yes
RRB-Grop-D-CBT-1-Paper_27-11-2025_S1.pdf,2025,17,638617,PDFs/2025,No,Yes
